[101/1000] wait=True freq=0.79Hz amp=31.8deg Kp=43.1 Kd=13.3 fx=-0.023 fy=0.002 | fell=False dist=0.20m CoT=5.306 settle_t=2.360s | skipped
[102/1000] wait=False freq=0.79Hz amp=31.8deg Kp=43.1 Kd=13.3 fx=-0.023 fy=0.002 | fell=False dist=0.18m CoT=5.788 settle_t=0.000s | skipped
[103/1000] wait=True freq=0.57Hz amp=24.8deg Kp=33.5 Kd=5.9 fx=-0.031 fy=-0.001 | fell=False dist=0.12m CoT=4.324 settle_t=2.566s | skipped
[104/1000] wait=False freq=0.57Hz amp=24.8deg Kp=33.5 Kd=5.9 fx=-0.031 fy=-0.001 | fell=False dist=0.09m CoT=6.480 settle_t=0.000s | skipped
[105/1000] wait=True freq=0.52Hz amp=37.2deg Kp=22.0 Kd=6.0 fx=0.002 fy=-0.016 | fell=False dist=0.14m CoT=2.574 settle_t=6.812s | skipped
[106/1000] wait=False freq=0.52Hz amp=37.2deg Kp=22.0 Kd=6.0 fx=0.002 fy=-0.016 | fell=False dist=0.36m CoT=1.112 settle_t=0.000s | skipped
[107/1000] wait=True freq=0.69Hz amp=38.2deg Kp=29.2 Kd=11.7 fx=-0.059 fy=-0.001 | fell=True dist=0.36m CoT=1.944 settle_t=2.196s | skipped
[108/1000] wait=False freq=0.69Hz amp=38.2deg Kp=29.2 Kd=11.7 fx=-0.059 fy=-0.001 | fell=True dist=0.57m CoT=0.658 settle_t=0.000s | skipped
[109/1000] wait=True freq=0.59Hz amp=32.9deg Kp=27.2 Kd=6.6 fx=-0.016 fy=-0.012 | fell=False dist=0.25m CoT=2.600 settle_t=4.776s | skipped
[110/1000] wait=False freq=0.59Hz amp=32.9deg Kp=27.2 Kd=6.6 fx=-0.016 fy=-0.012 | fell=False dist=0.12m CoT=5.936 settle_t=0.000s | skipped
[111/1000] wait=True freq=0.61Hz amp=21.1deg Kp=37.1 Kd=5.7 fx=-0.065 fy=-0.007 | fell=False dist=0.14m CoT=5.131 settle_t=2.694s | skipped
[112/1000] wait=False freq=0.61Hz amp=21.1deg Kp=37.1 Kd=5.7 fx=-0.065 fy=-0.007 | fell=False dist=0.23m CoT=3.326 settle_t=0.000s | skipped
[113/1000] wait=True freq=0.77Hz amp=27.9deg Kp=32.2 Kd=7.5 fx=-0.015 fy=0.004 | fell=False dist=0.11m CoT=5.074 settle_t=1.000s | skipped
[114/1000] wait=False freq=0.77Hz amp=27.9deg Kp=32.2 Kd=7.5 fx=-0.015 fy=0.004 | fell=False dist=0.15m CoT=3.499 settle_t=0.000s | skipped
[115/1000] wait=True freq=0.55Hz amp=31.2deg Kp=22.3 Kd=6.4 fx=-0.035 fy=-0.012 | fell=False dist=0.18m CoT=2.734 settle_t=4.576s | skipped
[116/1000] wait=False freq=0.55Hz amp=31.2deg Kp=22.3 Kd=6.4 fx=-0.035 fy=-0.012 | fell=False dist=0.27m CoT=1.817 settle_t=0.000s | skipped
[117/1000] wait=True freq=0.63Hz amp=20.0deg Kp=24.2 Kd=11.9 fx=-0.002 fy=0.005 | fell=False dist=0.05m CoT=4.398 settle_t=1.000s | skipped
[118/1000] wait=False freq=0.63Hz amp=20.0deg Kp=24.2 Kd=11.9 fx=-0.002 fy=0.005 | fell=False dist=0.09m CoT=2.266 settle_t=0.000s | skipped
[119/1000] wait=True freq=0.62Hz amp=32.8deg Kp=28.8 Kd=12.8 fx=-0.066 fy=0.008 | fell=False dist=0.33m CoT=6.655 settle_t=1.000s | skipped
[120/1000] wait=False freq=0.62Hz amp=32.8deg Kp=28.8 Kd=12.8 fx=-0.066 fy=0.008 | fell=False dist=0.23m CoT=9.656 settle_t=0.000s | skipped
[121/1000] wait=True freq=0.77Hz amp=34.4deg Kp=38.3 Kd=14.8 fx=-0.024 fy=-0.018 | fell=True dist=0.91m CoT=0.271 settle_t=7.810s | skipped
[122/1000] wait=False freq=0.77Hz amp=34.4deg Kp=38.3 Kd=14.8 fx=-0.024 fy=-0.018 | fell=True dist=0.33m CoT=0.637 settle_t=0.000s | skipped
[123/1000] wait=True freq=0.66Hz amp=40.0deg Kp=38.2 Kd=5.5 fx=-0.016 fy=-0.000 | fell=False dist=0.18m CoT=4.963 settle_t=3.232s | skipped
[124/1000] wait=False freq=0.66Hz amp=40.0deg Kp=38.2 Kd=5.5 fx=-0.016 fy=-0.000 | fell=False dist=0.14m CoT=6.215 settle_t=0.000s | skipped
[125/1000] wait=True freq=0.76Hz amp=26.8deg Kp=42.1 Kd=2.1 fx=-0.039 fy=-0.005 | fell=False dist=0.22m CoT=3.266 settle_t=2.794s | skipped
[126/1000] wait=False freq=0.76Hz amp=26.8deg Kp=42.1 Kd=2.1 fx=-0.039 fy=-0.005 | fell=False dist=0.14m CoT=5.309 settle_t=0.000s | skipped
[127/1000] wait=True freq=0.48Hz amp=21.5deg Kp=38.0 Kd=2.2 fx=-0.028 fy=-0.015 | fell=False dist=0.23m CoT=2.118 settle_t=7.868s | skipped
[128/1000] wait=False freq=0.48Hz amp=21.5deg Kp=38.0 Kd=2.2 fx=-0.028 fy=-0.015 | fell=False dist=0.38m CoT=1.058 settle_t=0.000s | skipped
[129/1000] wait=True freq=0.75Hz amp=35.5deg Kp=25.6 Kd=12.3 fx=0.011 fy=-0.010 | fell=True dist=1.17m CoT=0.489 settle_t=5.058s | skipped
[130/1000] wait=False freq=0.75Hz amp=35.5deg Kp=25.6 Kd=12.3 fx=0.011 fy=-0.010 | fell=True dist=0.63m CoT=0.912 settle_t=0.000s | skipped
[131/1000] wait=True freq=0.53Hz amp=26.8deg Kp=27.0 Kd=14.3 fx=-0.041 fy=-0.001 | fell=True dist=0.42m CoT=1.277 settle_t=2.262s | skipped
[132/1000] wait=False freq=0.53Hz amp=26.8deg Kp=27.0 Kd=14.3 fx=-0.041 fy=-0.001 | fell=False dist=0.29m CoT=3.922 settle_t=0.000s | skipped
[133/1000] wait=True freq=0.69Hz amp=26.9deg Kp=21.4 Kd=9.2 fx=-0.009 fy=-0.016 | fell=True dist=1.46m CoT=0.404 settle_t=4.492s | skipped
[134/1000] wait=False freq=0.69Hz amp=26.9deg Kp=21.4 Kd=9.2 fx=-0.009 fy=-0.016 | fell=False dist=0.23m CoT=1.939 settle_t=0.000s | skipped
[135/1000] wait=True freq=0.80Hz amp=34.2deg Kp=28.9 Kd=8.7 fx=-0.056 fy=-0.019 | fell=True dist=0.94m CoT=1.408 settle_t=7.574s | skipped
[136/1000] wait=False freq=0.80Hz amp=34.2deg Kp=28.9 Kd=8.7 fx=-0.056 fy=-0.019 | fell=True dist=0.58m CoT=0.689 settle_t=0.000s | skipped
[137/1000] wait=True freq=0.64Hz amp=27.1deg Kp=22.3 Kd=13.6 fx=-0.057 fy=-0.009 | fell=False dist=0.13m CoT=11.488 settle_t=5.018s | skipped
[138/1000] wait=False freq=0.64Hz amp=27.1deg Kp=22.3 Kd=13.6 fx=-0.057 fy=-0.009 | fell=True dist=0.56m CoT=1.961 settle_t=0.000s | skipped
[139/1000] wait=True freq=0.56Hz amp=39.7deg Kp=20.8 Kd=14.6 fx=-0.048 fy=-0.009 | fell=True dist=0.46m CoT=3.362 settle_t=5.070s | skipped
[140/1000] wait=False freq=0.56Hz amp=39.7deg Kp=20.8 Kd=14.6 fx=-0.048 fy=-0.009 | fell=True dist=0.56m CoT=0.655 settle_t=0.000s | skipped
[141/1000] wait=True freq=0.65Hz amp=27.0deg Kp=38.4 Kd=7.5 fx=-0.028 fy=-0.019 | fell=True dist=0.67m CoT=1.105 settle_t=10.634s | skipped
[142/1000] wait=False freq=0.65Hz amp=27.0deg Kp=38.4 Kd=7.5 fx=-0.028 fy=-0.019 | fell=True dist=0.77m CoT=0.220 settle_t=0.000s | skipped
[143/1000] wait=True freq=0.46Hz amp=22.9deg Kp=34.1 Kd=2.8 fx=0.010 fy=-0.012 | fell=False dist=0.22m CoT=0.775 settle_t=4.808s | skipped
[144/1000] wait=False freq=0.46Hz amp=22.9deg Kp=34.1 Kd=2.8 fx=0.010 fy=-0.012 | fell=False dist=0.32m CoT=0.726 settle_t=0.000s | skipped
[145/1000] wait=True freq=0.49Hz amp=24.7deg Kp=34.7 Kd=6.9 fx=-0.052 fy=-0.016 | fell=False dist=0.22m CoT=4.274 settle_t=4.468s | skipped
[146/1000] wait=False freq=0.49Hz amp=24.7deg Kp=34.7 Kd=6.9 fx=-0.052 fy=-0.016 | fell=False dist=0.33m CoT=2.552 settle_t=0.000s | skipped
[147/1000] wait=True freq=0.53Hz amp=36.3deg Kp=22.9 Kd=6.9 fx=-0.049 fy=-0.006 | fell=False dist=0.09m CoT=11.973 settle_t=2.756s | skipped
[148/1000] wait=False freq=0.53Hz amp=36.3deg Kp=22.9 Kd=6.9 fx=-0.049 fy=-0.006 | fell=True dist=0.50m CoT=0.288 settle_t=0.000s | skipped
[149/1000] wait=True freq=0.46Hz amp=37.3deg Kp=28.6 Kd=8.6 fx=-0.018 fy=-0.011 | fell=True dist=0.75m CoT=0.644 settle_t=4.624s | skipped
