[ 83/500] wait=True freq=0.40Hz amp=30.7deg Kp=22.2 Kd=12.5 fx=-0.034 fy=-0.003 | fell=False dist=0.18m CoT=4.361 settle_t=0.300s | skipped
[ 84/500] wait=False freq=0.40Hz amp=30.7deg Kp=22.2 Kd=12.5 fx=-0.034 fy=-0.003 | fell=False dist=0.36m CoT=2.226 settle_t=0.000s | skipped
[ 85/500] wait=True freq=0.57Hz amp=39.5deg Kp=35.5 Kd=2.9 fx=-0.063 fy=-0.008 | fell=True dist=0.18m CoT=1.617 settle_t=0.300s | skipped
[ 86/500] wait=False freq=0.57Hz amp=39.5deg Kp=35.5 Kd=2.9 fx=-0.063 fy=-0.008 | fell=True dist=0.28m CoT=1.228 settle_t=0.000s | skipped
[ 87/500] wait=True freq=0.79Hz amp=31.3deg Kp=32.8 Kd=14.9 fx=-0.064 fy=0.008 | fell=False dist=0.33m CoT=6.833 settle_t=0.300s | skipped
[ 88/500] wait=False freq=0.79Hz amp=31.3deg Kp=32.8 Kd=14.9 fx=-0.064 fy=0.008 | fell=False dist=0.17m CoT=13.627 settle_t=0.000s | skipped
[ 89/500] wait=True freq=0.41Hz amp=36.1deg Kp=32.3 Kd=2.5 fx=-0.015 fy=-0.017 | fell=True dist=0.43m CoT=0.951 settle_t=0.300s | skipped
[ 90/500] wait=False freq=0.41Hz amp=36.1deg Kp=32.3 Kd=2.5 fx=-0.015 fy=-0.017 | fell=True dist=0.30m CoT=1.342 settle_t=0.000s | skipped
[ 91/500] wait=True freq=0.64Hz amp=23.1deg Kp=44.7 Kd=13.0 fx=-0.035 fy=0.003 | fell=False dist=0.15m CoT=8.215 settle_t=0.300s | skipped
[ 92/500] wait=False freq=0.64Hz amp=23.1deg Kp=44.7 Kd=13.0 fx=-0.035 fy=0.003 | fell=False dist=0.23m CoT=5.867 settle_t=0.000s | skipped
[ 93/500] wait=True freq=0.54Hz amp=36.7deg Kp=29.2 Kd=8.1 fx=-0.006 fy=-0.020 | fell=True dist=0.96m CoT=0.444 settle_t=0.300s | skipped
[ 94/500] wait=False freq=0.54Hz amp=36.7deg Kp=29.2 Kd=8.1 fx=-0.006 fy=-0.020 | fell=True dist=0.77m CoT=0.240 settle_t=0.000s | skipped
[ 95/500] wait=True freq=0.70Hz amp=20.9deg Kp=29.6 Kd=10.6 fx=-0.017 fy=-0.009 | fell=False dist=0.12m CoT=3.418 settle_t=0.300s | skipped
[ 96/500] wait=False freq=0.70Hz amp=20.9deg Kp=29.6 Kd=10.6 fx=-0.017 fy=-0.009 | fell=False dist=1.02m CoT=0.851 settle_t=0.000s | skipped
[ 97/500] wait=True freq=0.79Hz amp=34.7deg Kp=34.4 Kd=8.7 fx=-0.034 fy=-0.000 | fell=True dist=0.76m CoT=1.632 settle_t=0.300s | skipped
[ 98/500] wait=False freq=0.79Hz amp=34.7deg Kp=34.4 Kd=8.7 fx=-0.034 fy=-0.000 | fell=False dist=0.23m CoT=6.046 settle_t=0.000s | skipped
[ 99/500] wait=True freq=0.75Hz amp=33.6deg Kp=25.6 Kd=11.5 fx=-0.034 fy=0.002 | fell=False dist=0.04m CoT=30.454 settle_t=0.300s | skipped
[100/500] wait=False freq=0.75Hz amp=33.6deg Kp=25.6 Kd=11.5 fx=-0.034 fy=0.002 | fell=False dist=0.15m CoT=10.184 settle_t=0.000s | skipped
[101/500] wait=True freq=0.55Hz amp=30.1deg Kp=35.4 Kd=10.5 fx=-0.038 fy=0.006 | fell=False dist=0.45m CoT=3.112 settle_t=0.300s | skipped
[102/500] wait=False freq=0.55Hz amp=30.1deg Kp=35.4 Kd=10.5 fx=-0.038 fy=0.006 | fell=False dist=0.35m CoT=4.080 settle_t=0.000s | skipped
[103/500] wait=True freq=0.56Hz amp=28.2deg Kp=26.2 Kd=7.2 fx=0.002 fy=0.007 | fell=False dist=0.18m CoT=1.527 settle_t=0.300s | skipped
[104/500] wait=False freq=0.56Hz amp=28.2deg Kp=26.2 Kd=7.2 fx=0.002 fy=0.007 | fell=False dist=0.14m CoT=1.950 settle_t=0.000s | skipped
[105/500] wait=True freq=0.78Hz amp=33.3deg Kp=36.1 Kd=2.7 fx=0.003 fy=-0.015 | fell=True dist=0.50m CoT=0.835 settle_t=0.300s | skipped
[106/500] wait=False freq=0.78Hz amp=33.3deg Kp=36.1 Kd=2.7 fx=0.003 fy=-0.015 | fell=True dist=0.30m CoT=2.430 settle_t=0.000s | skipped
[107/500] wait=True freq=0.46Hz amp=34.3deg Kp=32.4 Kd=12.7 fx=0.024 fy=-0.014 | fell=True dist=0.96m CoT=0.200 settle_t=0.300s | skipped
[108/500] wait=False freq=0.46Hz amp=34.3deg Kp=32.4 Kd=12.7 fx=0.024 fy=-0.014 | fell=True dist=0.96m CoT=0.296 settle_t=0.000s | skipped
[109/500] wait=True freq=0.75Hz amp=29.3deg Kp=27.0 Kd=3.2 fx=0.020 fy=-0.008 | fell=False dist=0.34m CoT=0.390 settle_t=0.300s | skipped
[110/500] wait=False freq=0.75Hz amp=29.3deg Kp=27.0 Kd=3.2 fx=0.020 fy=-0.008 | fell=False dist=0.08m CoT=1.183 settle_t=0.000s | skipped
[111/500] wait=True freq=0.56Hz amp=37.8deg Kp=30.4 Kd=3.0 fx=-0.007 fy=-0.007 | fell=False dist=0.40m CoT=1.478 settle_t=0.300s | skipped
[112/500] wait=False freq=0.56Hz amp=37.8deg Kp=30.4 Kd=3.0 fx=-0.007 fy=-0.007 | fell=False dist=0.25m CoT=1.837 settle_t=0.000s | skipped
[113/500] wait=True freq=0.80Hz amp=35.9deg Kp=28.0 Kd=3.0 fx=-0.060 fy=0.003 | fell=False dist=0.17m CoT=6.043 settle_t=0.300s | skipped
[114/500] wait=False freq=0.80Hz amp=35.9deg Kp=28.0 Kd=3.0 fx=-0.060 fy=0.003 | fell=False dist=0.23m CoT=4.769 settle_t=0.000s | skipped
[115/500] wait=True freq=0.58Hz amp=23.7deg Kp=35.1 Kd=3.0 fx=-0.030 fy=-0.011 | fell=False dist=0.26m CoT=1.131 settle_t=0.300s | skipped
[116/500] wait=False freq=0.58Hz amp=23.7deg Kp=35.1 Kd=3.0 fx=-0.030 fy=-0.011 | fell=False dist=0.30m CoT=1.325 settle_t=0.000s | skipped
[117/500] wait=True freq=0.58Hz amp=30.2deg Kp=39.8 Kd=5.4 fx=0.025 fy=-0.018 | fell=False dist=0.67m CoT=2.310 settle_t=0.300s | skipped
[118/500] wait=False freq=0.58Hz amp=30.2deg Kp=39.8 Kd=5.4 fx=0.025 fy=-0.018 | fell=False dist=1.10m CoT=1.578 settle_t=0.000s | skipped
[119/500] wait=True freq=0.57Hz amp=23.3deg Kp=41.1 Kd=6.4 fx=-0.001 fy=-0.011 | fell=False dist=0.36m CoT=1.007 settle_t=0.300s | skipped
[120/500] wait=False freq=0.57Hz amp=23.3deg Kp=41.1 Kd=6.4 fx=-0.001 fy=-0.011 | fell=False dist=0.36m CoT=0.933 settle_t=0.000s | skipped
[121/500] wait=True freq=0.66Hz amp=20.6deg Kp=23.5 Kd=10.1 fx=-0.003 fy=-0.003 | fell=False dist=0.08m CoT=1.848 settle_t=0.300s | skipped
[122/500] wait=False freq=0.66Hz amp=20.6deg Kp=23.5 Kd=10.1 fx=-0.003 fy=-0.003 | fell=False dist=0.09m CoT=2.125 settle_t=0.000s | skipped
[123/500] wait=True freq=0.77Hz amp=33.0deg Kp=43.4 Kd=13.1 fx=0.018 fy=0.004 | fell=False dist=0.08m CoT=4.974 settle_t=0.300s | skipped
[124/500] wait=False freq=0.77Hz amp=33.0deg Kp=43.4 Kd=13.1 fx=0.018 fy=0.004 | fell=False dist=0.24m CoT=1.741 settle_t=0.000s | skipped
[125/500] wait=True freq=0.64Hz amp=32.9deg Kp=43.1 Kd=3.8 fx=-0.044 fy=0.008 | fell=False dist=0.32m CoT=4.925 settle_t=0.300s | skipped
[126/500] wait=False freq=0.64Hz amp=32.9deg Kp=43.1 Kd=3.8 fx=-0.044 fy=0.008 | fell=False dist=0.30m CoT=4.952 settle_t=0.000s | skipped
[127/500] wait=True freq=0.67Hz amp=36.5deg Kp=25.7 Kd=7.6 fx=0.016 fy=0.001 | fell=False dist=0.21m CoT=1.991 settle_t=0.300s | skipped
[128/500] wait=False freq=0.67Hz amp=36.5deg Kp=25.7 Kd=7.6 fx=0.016 fy=0.001 | fell=False dist=0.14m CoT=2.019 settle_t=0.000s | skipped
