Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0213,-0.0011,31.02,14.44,1.234,0.755,28.38,0.556,False,0.0471,25.9371
-0.0518,-0.0065,41.25,10.01,1.362,1.047,29.95,0.59,False,0.4452,4.8187
-0.0636,-0.0131,41.64,11.52,1.749,1.237,39.46,0.664,True,0.5315,0.5683
-0.0264,-0.0037,30.45,4.85,1.003,1.232,38.31,0.624,True,0.5758,1.1021
-0.0675,0.0091,32.23,3.66,1.76,0.993,24.32,0.702,False,0.3776,2.4578
0.0072,0.0074,24.99,12.56,1.716,0.895,24.65,0.416,False,0.1829,1.6724
-0.0067,-0.0055,36.61,7.91,1.773,1.135,25.14,0.407,False,0.439,1.2106
-0.0381,0.004,39.35,12.66,1.697,0.704,30.14,0.49,True,0.4394,2.2454
-0.0046,-0.0078,20.9,2.77,1.221,0.928,28.48,0.58,False,0.1497,0.7005
-0.0288,0.0007,29.36,2.53,1.127,1.07,22.42,0.677,False,0.0716,3.0191
-0.0391,-0.0,24.04,2.33,1.691,0.729,22.53,0.785,False,0.1226,1.6196
-0.0484,0.0033,28.55,6.42,0.824,0.746,28.87,0.769,False,0.1549,6.164
-0.0009,-0.0119,42.24,5.92,1.511,1.381,32.77,0.676,False,0.1595,4.2842
-0.0217,0.0035,43.69,10.62,1.657,0.977,37.67,0.774,False,0.3324,3.8256
0.0227,-0.0076,31.25,11.65,1.646,0.935,34.79,0.788,True,1.0488,0.7056
-0.0691,0.0021,23.92,13.88,0.935,1.208,29.84,0.754,False,0.2586,8.7835
-0.0656,-0.003,32.85,3.31,1.228,1.299,26.4,0.507,False,0.3918,3.069
-0.0296,0.0058,22.37,12.84,1.346,0.701,31.46,0.544,False,0.4892,2.3924
-0.0535,0.0076,31.43,14.48,1.461,0.913,25.36,0.786,False,0.4995,3.5355
-0.0531,0.0004,23.42,14.85,1.548,1.371,38.84,0.703,False,0.3975,6.1168
-0.0141,0.0054,39.62,5.38,1.239,0.95,27.79,0.604,False,0.244,3.0448
-0.0663,-0.0156,28.9,6.07,1.299,1.232,36.99,0.657,True,0.413,0.4665
-0.0284,-0.0116,23.13,2.67,1.764,1.02,30.42,0.711,False,0.098,2.7111
-0.0139,-0.0053,43.71,5.71,0.914,1.278,39.17,0.6,False,2.4416,0.8915
-0.047,-0.0091,37.33,11.36,0.815,0.784,33.72,0.455,True,0.8523,0.3164
0.0133,-0.0059,37.38,10.47,1.278,0.726,25.56,0.686,False,0.1447,2.6494
-0.0426,-0.0076,21.57,9.78,1.172,1.128,20.83,0.497,False,0.1309,2.6193
-0.0167,-0.0068,34.67,4.19,0.892,1.155,27.2,0.634,False,0.1351,3.9478
0.0076,-0.0017,41.2,4.54,1.141,1.049,37.33,0.626,False,0.3353,1.716
0.0229,-0.0143,42.59,8.41,1.181,1.181,27.92,0.563,True,0.3683,0.7473
-0.0082,-0.0184,34.14,11.95,0.951,1.183,26.4,0.685,True,0.6153,0.1079
0.0198,0.0082,44.48,8.43,1.714,1.326,31.56,0.672,False,0.0578,8.1043
0.0173,-0.0021,25.81,2.27,1.776,1.155,24.69,0.41,False,0.0682,1.0823
-0.0323,-0.0078,36.7,9.92,1.586,1.179,33.9,0.482,True,0.4747,0.2931
-0.0084,0.0059,30.14,2.48,1.721,0.763,36.04,0.502,False,0.1972,3.3718
-0.0228,-0.0062,32.46,10.55,1.54,1.225,36.59,0.723,False,0.2069,6.3238
-0.0496,-0.0133,22.71,13.71,1.166,0.794,28.24,0.542,False,0.4717,2.571
-0.0111,0.0063,38.18,4.9,0.979,0.806,33.33,0.412,False,0.9965,1.0537
-0.0474,0.0037,32.71,10.66,1.116,1.357,31.27,0.602,True,0.4013,2.175
-0.0661,-0.0031,22.48,8.8,1.77,0.717,39.01,0.612,True,0.853,0.556
0.0175,-0.0176,31.76,5.69,0.826,1.305,26.48,0.54,True,0.7596,0.0027
-0.033,-0.0102,35.32,11.43,1.022,1.348,20.96,0.692,False,0.1717,4.0662
-0.0427,0.0066,24.17,10.31,1.598,0.923,32.25,0.533,False,0.5669,2.2071
-0.0443,-0.0192,31.95,7.53,0.878,1.094,29.77,0.742,True,0.677,0.4166
-0.0487,-0.0012,28.38,7.25,0.933,0.947,23.53,0.432,False,0.3514,1.5519
-0.0,-0.0073,44.52,13.48,0.844,0.739,26.25,0.638,False,0.1549,4.2505
-0.0414,0.0018,22.18,13.1,1.731,1.072,25.67,0.567,False,0.365,2.7244
