Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
True,0.0077,-0.0007,27.5,12.2,0.868,0.802,23.7,0.409,False,0.0285,3.1169,14.354,False
False,0.0077,-0.0007,27.5,12.2,0.868,0.802,23.7,0.409,False,0.0751,2.5594,0.0,False
True,-0.0404,-0.0174,26.29,6.29,1.374,1.293,31.66,0.736,False,0.098,9.2888,18.576,False
False,-0.0404,-0.0174,26.29,6.29,1.374,1.293,31.66,0.736,False,0.3155,2.7146,0.0,False
True,-0.0388,-0.008,43.41,5.68,1.756,1.233,39.89,0.688,True,0.1583,3.5841,12.336,False
False,-0.0388,-0.008,43.41,5.68,1.756,1.233,39.89,0.688,True,0.9405,1.1841,0.0,False
True,-0.0678,0.0086,41.41,3.12,1.074,0.998,25.5,0.648,False,0.4173,3.8677,2.998,False
False,-0.0678,0.0086,41.41,3.12,1.074,0.998,25.5,0.648,False,3.3341,0.4855,0.0,True
True,-0.0142,-0.0089,26.19,14.09,1.623,1.184,24.56,0.416,False,0.1567,2.8505,13.484,False
False,-0.0142,-0.0089,26.19,14.09,1.623,1.184,24.56,0.416,False,0.3549,1.4222,0.0,False
True,-0.0411,-0.0093,44.77,4.63,1.392,0.72,24.43,0.758,False,0.1923,5.0411,13.576,False
False,-0.0411,-0.0093,44.77,4.63,1.392,0.72,24.43,0.758,False,0.1842,4.0572,0.0,False
True,0.008,0.0011,39.52,14.1,1.608,0.926,29.89,0.759,False,0.2623,1.7721,4.59,False
False,0.008,0.0011,39.52,14.1,1.608,0.926,29.89,0.759,False,0.1369,3.7882,0.0,False
True,-0.0308,-0.0057,34.92,2.25,1.252,1.157,22.05,0.615,False,0.1295,2.2979,12.454,False
False,-0.0308,-0.0057,34.92,2.25,1.252,1.157,22.05,0.615,False,0.0849,4.373,0.0,False
True,-0.0165,0.0036,28.35,11.31,1.241,1.219,39.21,0.549,True,1.7927,0.3313,11.154,False
False,-0.0165,0.0036,28.35,11.31,1.241,1.219,39.21,0.549,False,0.3532,3.2022,0.0,False
True,-0.0499,-0.0064,39.48,10.88,1.482,1.106,27.72,0.646,False,0.8909,2.0699,12.648,False
False,-0.0499,-0.0064,39.48,10.88,1.482,1.106,27.72,0.646,False,2.4059,0.6394,0.0,True
True,-0.0504,0.0063,29.07,9.79,1.732,1.06,36.83,0.5,True,0.5382,0.4609,2.998,False
False,-0.0504,0.0063,29.07,9.79,1.732,1.06,36.83,0.5,True,0.3735,0.8059,0.0,False
True,0.0128,-0.0096,40.88,14.73,1.012,0.935,23.98,0.575,False,0.0282,14.5695,16.574,False
False,0.0128,-0.0096,40.88,14.73,1.012,0.935,23.98,0.575,True,1.0938,0.5819,0.0,False
True,0.0015,-0.0001,20.73,5.29,1.719,0.758,25.15,0.555,False,0.1329,0.5818,5.488,False
False,0.0015,-0.0001,20.73,5.29,1.719,0.758,25.15,0.555,False,0.091,1.0998,0.0,False
True,-0.0315,-0.0117,22.53,12.08,1.06,1.381,39.81,0.454,True,1.5579,0.6749,13.288,False
False,-0.0315,-0.0117,22.53,12.08,1.06,1.381,39.81,0.454,True,0.9068,0.5043,0.0,False
True,-0.0487,0.0099,40.74,9.94,1.148,1.025,31.16,0.725,False,1.8299,1.1973,2.998,False
False,-0.0487,0.0099,40.74,9.94,1.148,1.025,31.16,0.725,False,0.6393,2.7563,0.0,False
True,0.0144,-0.0142,29.12,8.68,0.842,0.965,27.79,0.609,False,0.0074,32.0679,18.032,False
False,0.0144,-0.0142,29.12,8.68,0.842,0.965,27.79,0.609,False,0.4528,0.8869,0.0,False
True,-0.0312,-0.0152,42.29,12.83,1.101,0.873,32.81,0.778,True,0.9151,1.0687,15.144,False
False,-0.0312,-0.0152,42.29,12.83,1.101,0.873,32.81,0.778,True,1.2667,0.4883,0.0,False
True,0.0227,0.0089,41.38,3.27,1.35,1.254,23.77,0.517,False,0.031,6.8752,2.998,False
False,0.0227,0.0089,41.38,3.27,1.35,1.254,23.77,0.517,False,0.0089,22.5923,0.0,False
True,-0.0133,-0.0017,28.55,6.91,1.143,0.803,25.76,0.442,False,0.1341,2.0398,13.504,False
False,-0.0133,-0.0017,28.55,6.91,1.143,0.803,25.76,0.442,False,0.0753,3.5878,0.0,False
True,-0.0369,-0.0004,43.48,5.15,1.771,0.872,23.08,0.543,True,0.665,0.2122,12.034,False
False,-0.0369,-0.0004,43.48,5.15,1.771,0.872,23.08,0.543,False,3.6767,0.2473,0.0,True
True,-0.0252,-0.0085,25.45,10.72,1.32,1.316,36.96,0.518,True,1.4601,0.9305,12.604,False
False,-0.0252,-0.0085,25.45,10.72,1.32,1.316,36.96,0.518,True,1.3209,0.6095,0.0,False
True,-0.0298,-0.0138,25.42,4.86,1.275,0.78,28.82,0.468,False,0.068,5.6287,14.998,False
False,-0.0298,-0.0138,25.42,4.86,1.275,0.78,28.82,0.468,False,0.2528,1.6411,0.0,False
True,-0.0161,-0.0091,26.25,4.81,1.345,1.154,25.7,0.454,False,0.0434,3.2769,13.438,False
False,-0.0161,-0.0091,26.25,4.81,1.345,1.154,25.7,0.454,False,0.2807,0.4621,0.0,False
True,0.019,-0.0075,39.62,13.77,1.443,1.29,39.57,0.56,True,1.502,0.2155,13.654,False
False,0.019,-0.0075,39.62,13.77,1.443,1.29,39.57,0.56,True,1.0818,0.3013,0.0,False
True,-0.0066,-0.0177,30.81,10.81,0.891,0.901,21.18,0.59,False,0.0248,12.5127,17.302,False
False,-0.0066,-0.0177,30.81,10.81,0.891,0.901,21.18,0.59,False,0.3139,1.1878,0.0,False
True,-0.0419,-0.0106,40.0,6.7,1.442,1.056,32.59,0.693,False,1.769,1.3784,12.51,False
False,-0.0419,-0.0106,40.0,6.7,1.442,1.056,32.59,0.693,False,2.3905,1.2513,0.0,True
True,0.0118,-0.0151,42.56,2.4,1.46,0.796,22.78,0.671,False,0.0552,3.9278,20.314,False
False,0.0118,-0.0151,42.56,2.4,1.46,0.796,22.78,0.671,True,1.5216,0.573,0.0,False
True,-0.0502,0.0011,32.65,13.26,1.773,1.305,35.09,0.8,True,0.6394,2.7806,10.816,False
False,-0.0502,0.0011,32.65,13.26,1.773,1.305,35.09,0.8,False,0.3575,5.3237,0.0,False
True,-0.0213,-0.0145,44.43,10.24,1.695,0.982,26.97,0.717,False,0.1938,5.7987,15.546,False
False,-0.0213,-0.0145,44.43,10.24,1.695,0.982,26.97,0.717,True,0.8892,0.7163,0.0,False
True,0.0156,0.0015,26.12,11.12,0.825,1.05,23.12,0.408,False,0.0964,1.5226,12.116,False
False,0.0156,0.0015,26.12,11.12,0.825,1.05,23.12,0.408,False,0.0595,2.1654,0.0,False
True,-0.0221,-0.0054,33.62,14.61,1.466,0.823,25.11,0.772,False,0.0444,18.8203,12.214,False
False,-0.0221,-0.0054,33.62,14.61,1.466,0.823,25.11,0.772,True,1.3841,0.3087,0.0,False
True,-0.0608,-0.012,27.74,7.95,1.674,1.306,33.35,0.692,True,0.1159,4.3626,12.232,False
False,-0.0608,-0.012,27.74,7.95,1.674,1.306,33.35,0.692,True,0.4125,3.913,0.0,False
True,0.0221,0.0061,24.57,6.55,1.37,1.101,25.98,0.739,False,0.0924,1.6332,2.998,False
False,0.0221,0.0061,24.57,6.55,1.37,1.101,25.98,0.739,False,0.2599,0.5353,0.0,False
True,-0.0265,-0.0084,26.65,13.03,0.857,1.219,33.4,0.435,False,0.6456,1.7867,13.18,False
False,-0.0265,-0.0084,26.65,13.03,0.857,1.219,33.4,0.435,True,0.606,0.5421,0.0,False
True,-0.0167,0.0082,38.36,4.57,1.726,1.0,30.1,0.583,False,0.232,3.2169,2.998,False
False,-0.0167,0.0082,38.36,4.57,1.726,1.0,30.1,0.583,False,0.2463,3.1367,0.0,False
True,-0.0228,-0.0042,25.16,12.85,1.094,1.125,25.19,0.678,False,0.6051,1.7001,11.432,False
False,-0.0228,-0.0042,25.16,12.85,1.094,1.125,25.19,0.678,False,0.1841,4.3874,0.0,False
True,-0.0149,-0.0045,34.29,7.02,0.9,0.967,36.44,0.499,False,0.0906,10.6471,12.328,False
False,-0.0149,-0.0045,34.29,7.02,0.9,0.967,36.44,0.499,False,0.0712,14.5032,0.0,False
