Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
31.53846153846154,0.456923076923077,1.8,1.011111111111111,False,0.9658,0.6659,False,0.04829
31.53846153846154,0.46256410256410263,1.8,0.9333333333333333,False,1.0645,0.4592,False,0.053225
31.53846153846154,0.4682051282051283,1.4666666666666668,1.0888888888888888,False,0.9273,0.4043,False,0.046365
31.53846153846154,0.4738461538461539,1.3555555555555556,1.3222222222222222,False,1.3358,0.6201,False,0.06679
31.53846153846154,0.47948717948717956,0.9111111111111112,0.9333333333333333,False,0.686,0.5299,False,0.034300000000000004
31.53846153846154,0.4851282051282052,1.1333333333333333,1.1666666666666665,False,1.3837,0.4035,False,0.069185
31.53846153846154,0.49076923076923085,1.4666666666666668,0.8555555555555555,False,1.3476,0.4951,False,0.06738
31.53846153846154,0.4964102564102565,0.8,1.011111111111111,False,1.2608,0.3845,False,0.06304
31.53846153846154,0.5020512820512821,1.5777777777777777,0.7777777777777777,False,0.9371,0.4757,False,0.046855
31.53846153846154,0.5076923076923078,1.4666666666666668,1.4,False,1.0329,0.4999,False,0.051644999999999996
31.53846153846154,0.5133333333333334,1.1333333333333333,1.2444444444444445,False,1.1986,0.498,False,0.059930000000000004
31.53846153846154,0.5189743589743591,1.5777777777777777,1.0888888888888888,False,1.5794,0.5445,False,0.07897
31.53846153846154,0.5246153846153847,1.8,0.9333333333333333,False,0.8732,0.5318,False,0.04366
31.53846153846154,0.5302564102564103,0.8,0.7777777777777777,False,0.9731,0.7075,False,0.048655
31.53846153846154,0.535897435897436,1.8,1.3222222222222222,False,1.2111,0.4517,False,0.060555000000000005
31.53846153846154,0.5415384615384616,1.2444444444444445,1.1666666666666665,False,1.1876,0.4145,False,0.05938
31.53846153846154,0.5471794871794873,1.3555555555555556,1.2444444444444445,False,1.2535,0.3992,False,0.06267500000000001
31.53846153846154,0.5528205128205128,1.5777777777777777,1.0888888888888888,False,0.9958,0.6558,False,0.04979
31.53846153846154,0.5584615384615386,1.8,1.3222222222222222,False,1.3203,0.4265,False,0.066015
31.53846153846154,0.5641025641025641,0.8,1.2444444444444445,False,1.5847,0.4169,False,0.079235
31.53846153846154,0.5697435897435899,1.1333333333333333,1.4,False,2.6454,0.3199,True,0.13227
31.53846153846154,0.5753846153846154,1.8,0.8555555555555555,False,1.0721,0.5823,False,0.053605
31.53846153846154,0.5810256410256411,1.0222222222222221,1.2444444444444445,False,1.569,0.5904,False,0.07844999999999999
31.53846153846154,0.5866666666666667,1.3555555555555556,0.7,False,1.1689,0.4733,False,0.058445000000000004
31.53846153846154,0.5923076923076923,1.4666666666666668,1.3222222222222222,False,0.9146,0.5934,False,0.04573
31.53846153846154,0.597948717948718,1.6888888888888889,0.7777777777777777,False,0.8352,0.7193,False,0.041760000000000005
31.53846153846154,0.6035897435897436,1.1333333333333333,1.1666666666666665,False,1.5124,0.3269,False,0.07561999999999999
31.53846153846154,0.6092307692307692,1.4666666666666668,1.011111111111111,False,0.9805,0.5663,False,0.049025
31.53846153846154,0.6148717948717949,1.4666666666666668,1.011111111111111,False,1.1024,0.484,False,0.05512
31.53846153846154,0.6205128205128205,1.5777777777777777,1.4,False,0.9605,0.5621,False,0.048025
31.53846153846154,0.6261538461538462,1.4666666666666668,0.7777777777777777,False,1.4755,0.4423,False,0.07377500000000001
31.53846153846154,0.6317948717948718,1.2444444444444445,1.0888888888888888,False,1.0231,0.3254,False,0.05115499999999999
31.53846153846154,0.6374358974358975,1.2444444444444445,1.3222222222222222,False,0.7714,1.3804,False,0.03857
31.53846153846154,0.6430769230769231,1.6888888888888889,1.011111111111111,False,1.0552,0.3811,False,0.052759999999999994
31.53846153846154,0.6487179487179487,1.3555555555555556,0.8555555555555555,False,0.8705,0.4655,False,0.043525
31.53846153846154,0.6543589743589744,1.8,1.2444444444444445,False,0.8985,0.4053,False,0.044925
31.53846153846154,0.66,0.8,1.2444444444444445,False,1.0447,0.6202,False,0.052235
31.923076923076923,0.44000000000000006,0.9111111111111112,0.9333333333333333,False,1.0898,0.379,False,0.054490000000000004
31.923076923076923,0.4456410256410257,1.8,0.9333333333333333,False,1.3404,0.3939,False,0.06702
31.923076923076923,0.45128205128205134,0.9111111111111112,1.0888888888888888,False,0.789,0.5331,False,0.03945
