Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Avg_Velocity,Passed
-0.0013,-0.0011,42.5,12.51,0.817,1.266,26.26,0.475,False,0.2193,2.9088,0.010963184333063637,False
-0.0338,0.003,27.41,2.29,0.958,1.086,32.95,0.641,False,0.0524,7.4401,0.002619430244810225,False
-0.005,-0.0008,24.71,6.0,1.05,1.334,38.34,0.619,False,0.1561,2.6532,0.007803191954487479,False
-0.0495,0.0099,23.51,2.34,1.283,1.251,23.41,0.467,False,0.1669,1.8161,0.008343927792071557,False
-0.0381,-0.0125,34.99,8.74,0.922,0.815,33.21,0.74,True,0.6127,1.7299,0.04488325846975015,False
-0.048,-0.0192,36.56,2.6,0.823,1.172,21.41,0.601,False,0.1611,3.6984,0.008056977516619783,False
-0.0453,-0.0101,33.48,2.43,1.601,0.785,36.85,0.465,True,0.4858,0.5319,0.3475072698615472,False
0.0249,0.0095,21.96,10.68,1.093,1.359,30.0,0.64,False,0.2182,1.3315,0.010911459441713877,False
-0.0558,0.0087,27.05,13.45,1.174,1.195,34.52,0.735,False,0.1774,11.5892,0.008871986438790586,False
-0.0377,-0.0121,28.16,11.33,1.659,1.229,22.11,0.453,False,0.1116,4.2093,0.0055778560539982815,False
-0.0205,-0.0072,25.14,4.55,0.845,0.755,35.17,0.511,False,0.1487,2.5525,0.007436415971593075,False
0.0123,0.0059,30.38,14.06,1.01,1.284,23.92,0.697,False,0.2087,1.7298,0.010432683092075712,False
-0.0187,0.0048,38.29,5.25,0.81,1.205,33.62,0.481,False,0.0935,10.9446,0.004673329925290162,False
0.0239,-0.0014,29.77,9.16,1.063,0.813,25.41,0.768,False,0.0121,15.6522,0.0006032111834533365,False
-0.0125,0.006,23.41,3.51,1.178,0.975,33.11,0.486,False,0.0923,2.7199,0.004612941171379434,False
0.0202,-0.0034,44.99,4.49,1.636,0.948,30.51,0.608,True,0.8028,0.8879,0.06944431942423777,False
-0.0059,-0.0166,24.86,7.12,0.827,1.227,29.7,0.698,False,0.088,4.1771,0.004401683952301711,False
0.0185,-0.014,43.38,7.52,1.473,1.109,34.79,0.519,True,1.4377,0.2097,0.3736199088052412,False
-0.0215,0.0044,33.66,3.68,1.39,1.271,20.43,0.554,False,0.0409,5.6994,0.002046115016073615,False
-0.014,-0.0017,43.82,2.93,1.327,1.123,28.68,0.467,False,0.0515,15.0941,0.002575571398702876,False
-0.0614,-0.0022,44.27,7.34,1.34,0.782,32.67,0.533,True,0.3572,1.2774,0.11121892618852586,False
-0.0553,0.0064,34.6,12.16,1.748,0.717,31.35,0.617,False,2.0566,0.8057,0.10282823068381165,True
